FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),PURCHASES_DWELLINGS,Purchases of dwellings,Time (TIME_PERIOD),Observation,OBS_STATUS,Observation status
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,104.3,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,100.2,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,99.5,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,99.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,100.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,103.4,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,106,,
A,Annual,ITC,Nord-ovest,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,110.6,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,103.9,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,99.1,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,97.9,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,98.5,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,99.3,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,101.6,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,104.6,,
A,Annual,ITD,Nord-est,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,109.5,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,104.9,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,100.6,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,98.9,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,97.1,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,95.2,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,95.5,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,98.4,,
A,Annual,ITE,Centro (I),60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,101.4,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2014,102.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2015,100,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2016,101,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2017,100.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2018,99.4,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2019,98.6,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2020,100.1,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2021,101.3,,
A,Annual,ITFG,Mezzogiorno,60,House price index (base 2015=100) - annual average,4,Index number,ALL,H1 - all items,2022,103.9,,
